1500100596	田晨潍	587	1
1500100903	於依云	549	2
1500100563	禄昆鹏	536	3
1500100807	魏笑卉	518	4
1500100739	项元柏	517	5
1500100576	巢向彤	508	6
1500100874	宓涵衍	495	7
1500100831	宦芷容	493	8
1500100729	康幻莲	491	9
1500100862	茹晨朗	490	10
1500100750	东鸿德	487	11
1500100610	卫昆鹏	484	12
1500100228	孙鑫鹏	480	13
1500100484	蒲惜玉	479	14
1500100169	印维运	475	15
1500100233	师昆鹏	468	16
1500100262	黎盼烟	460	17
1500100504	时傲旋	455	18
1500100495	戈越泽	451	19
1500100388	阙敬曦	443	20
1500100599	伊昆卉	443	21
1500100559	能千凡	435	22
1500100183	卫若枫	430	23
1500100064	汲辰沛	428	24
1500100390	郎恨蕊	412	25
1500100992	莫运盛	407	26
1500100126	侯昌燎	403	27
1500100010	羿彦昌	402	28
1500100167	裘昌淼	401	29
1500100219	万青旋	399	30
1500100901	崔海昌	399	31
1500100204	屠昆纬	398	32
1500100413	边诗珊	394	33
1500100205	池景明	392	34
1500100048	从子辰	390	35
1500100368	濮梦竹	388	36
1500100876	蓟丹蝶	384	37
1500100632	高冰夏	379	38
1500101000	符瑞渊	379	39
1500100636	籍昌黎	374	40
1500100030	姚依丝	369	41
1500100555	宗鸿晖	368	42
1500100483	邵海阳	365	43
1500100164	封昂杰	364	44
1500100008	符半双	363	45
1500100723	苏曜瑞	363	46
1500100003	单乐蕊	359	47
1500100742	成昆雄	359	48
1500100215	费华晖	358	49
1500100487	李天蓉	358	50
1500100043	晏昆鹏	356	51
1500100542	邴鸿骞	355	52
1500100375	蓝恨山	349	53
1500100989	柏盼香	349	54
1500100462	贲鸿朗	347	55
1500100584	蔡昊天	346	56
1500100492	咸辰铭	341	57
1500100141	谢昌勋	336	58
1500100802	聂鹏池	336	59
1500100567	蓬向彤	331	60
1500100221	费智伟	320	61
1500100693	顾浩轩	319	62
1500100187	武静珊	313	63
1500100074	史鹏煊	308	64
1500100296	空向南	302	65
1500100271	龙浩初	298	66
1500100224	裴昂熙	297	67
1500100639	殳迎彤	297	68
1500100242	舒智阳	294	69
1500100429	翟昆鹏	293	70
1500100997	陶敬曦	293	71
1500100864	柯凡雁	291	72
1500100174	茅香薇	288	73
1500100049	籍涵煦	287	74
1500100704	宰华晖	286	75
1500100494	邢运良	276	76
1500100151	诸碧萱	275	77
1500100708	陆君昊	269	78
1500100544	湛鸿云	266	79
1500100317	范盼菡	265	80
1500100203	董旭彬	250	81
1500100797	殳碧春	250	82
1500100851	白运盛	249	83
1500100942	贡涵亮	249	84
1500100945	居平卉	242	85
1500100252	巴向薇	241	86
1500100446	羊怜南	240	87
1500100168	巫辰皓	231	88
1500100507	诸秋灵	231	89
1500100021	连鸿晖	203	90
1500100591	麴海白	199	91
1500100712	冷鑫鹏	198	92
