1500100418	蓟海昌	611	1
1500100823	宓新曦	547	2
1500100954	咸芷天	533	3
1500100852	寇凝丹	532	4
1500100697	尤新曦	531	5
1500100093	裴依秋	528	6
1500100828	邵智杰	519	7
1500100358	苗映安	507	8
1500100421	安星爵	492	9
1500100192	暨君昊	483	10
1500100073	滕旭炎	478	11
1500100950	边香巧	475	12
1500100246	丁运凡	463	13
1500100307	危昊然	460	14
1500100771	蓟智杰	452	15
1500100581	邢鸿畴	445	16
1500100789	祖鸿畅	438	17
1500100075	谭春蕾	437	18
1500100527	逄梦竹	430	19
1500100641	卞恨蕊	430	20
1500100097	叶德昌	429	21
1500100680	别景逸	429	22
1500100799	姚维运	429	23
1500100856	羿昆鹏	429	24
1500100083	雍惜玉	426	25
1500100477	鱼星然	426	26
1500100938	国鸿德	425	27
1500100386	王丹蝶	424	28
1500100790	沙慕易	424	29
1500100878	柳鸿轩	412	30
1500100919	伏昆宇	410	31
1500100565	荆智阳	408	32
1500100209	俞海逸	403	33
1500100517	常景天	403	34
1500100378	余昆宇	402	35
1500100830	夔宛秋	392	36
1500100794	苏觅云	391	37
1500100909	符景天	388	38
1500100459	阮依波	386	39
1500100479	步天蓉	382	40
1500100454	郁向秋	381	41
1500100331	辛昂熙	376	42
1500100236	舄以山	371	43
1500100013	逯君昊	369	44
1500100499	陶千凡	368	45
1500100854	利敬曦	366	46
1500100535	简昆纶	364	47
1500100940	狄映安	363	48
1500100036	阮旭炎	362	49
1500100761	桓鸿祯	361	50
1500100764	濮浩皛	360	51
1500100825	丁震轩	353	52
1500100291	毋高朗	349	53
1500100672	傅宣朗	348	54
1500100732	蓝碧萱	347	55
1500100024	湛慕卉	343	56
1500100609	舒绮晴	343	57
1500100227	宗振凯	326	58
1500100309	乜惜玉	325	59
1500100400	符寄风	324	60
1500100223	殷醉波	319	61
1500100868	勾书雁	318	62
1500100085	彭旭东	317	63
1500100044	田天风	295	64
1500100788	冯鸿朗	295	65
1500100933	向曜瑞	293	66
1500100554	饶天蓉	291	67
1500100533	隆梦秋	288	68
1500100956	臧恨桃	288	69
1500100809	梁震博	287	70
1500100207	卜幼南	275	71
1500100908	那光济	271	72
1500100702	冉瀚文	270	73
1500100392	童景行	264	74
1500100412	魏浩慨	264	75
1500100793	庾向南	254	76
1500100890	郁昊苍	254	77
1500100699	吕白风	251	78
1500100062	空芷荷	241	79
1500100626	卜丹蝶	240	80
1500100775	明映雁	237	81
1500100965	尤昊伟	215	82
1500100659	祁昊天	214	83
1500100138	栾鸿信	203	84
1500100032	雍静枫	184	85
1500100248	盛学智	182	86
1500100127	罗芷卉	176	87
